rat,rat1,rat2,rat3,Cstd,base,Gmax,Cmean,ACmean30,ACVar30
0.0,0.0,0.0,0.0,16.567514206842564,105.42904695132036,171.21120366931643,113.88752222833851,0.24205843968988594,0.21135550972385234
0.0,1.0,0.0,0.0,16.553450454129543,105.42904695132036,171.20211396584858,113.83415818664069,0.24041035601914595,0.2120295207583889
0.0,2.0,0.0,0.0,16.539527677277007,105.42904695132036,171.19281247436084,113.78127710435183,0.23877867781795745,0.21269391006571248
0.0,3.0,0.0,0.0,16.52574311291226,105.42904695132036,171.18329705203124,113.72887276276263,0.23716316083401645,0.21334880046406463
0.0,4.0,0.0,0.0,16.512094012777396,105.42904695132036,171.17356546932095,113.6769390766901,0.23556356533282174,0.2139943142702796
0.0,5.0,0.0,0.0,16.498577644100273,105.42904695132036,171.16361540237227,113.62547008902362,0.23397966047537416,0.21463056641299916
0.0,6.0,0.0,0.0,16.485191291393857,105.42904695132036,171.15344443395523,113.57445996526369,0.23241121803536322,0.215257674462678
0.0,7.0,0.0,0.0,16.471932259358244,105.42904695132036,171.1430500656569,113.52390298861147,0.2308580175827877,0.21587575418907118
0.0,8.0,0.0,0.0,16.458797874140124,105.42904695132036,171.13242969969352,113.47379355563575,0.22931984280332057,0.21648492020946003
0.0,9.0,0.0,0.0,16.44578548672618,105.42904695132036,171.1215805175739,113.4241261719483,0.22779648297480645,0.21708528240659555
0.0,10.0,0.0,0.0,16.432892474512396,105.42904695132036,171.1104995445672,113.37489544858168,0.2262877313970587,0.21767694894076803
0.0,11.0,0.0,0.0,16.420116244587817,105.42904695132036,171.0991837725751,113.3260960985714,0.22479338495954557,0.2182600294143915
0.0,12.0,0.0,0.0,16.40745423420926,105.42904695132036,171.08763015853108,113.27772293338154,0.22331324487296234,0.21883463208330992
0.0,13.0,0.0,0.0,16.3949039142005,105.42904695132036,171.07583565325075,113.22977086002041,0.2218471171403567,0.21940086124717464
0.0,14.0,0.0,0.0,16.38246278888238,105.42904695132036,171.06379718952033,113.18223487799558,0.22039481027277646,0.2199588206350043
0.0,15.0,0.0,0.0,16.370128398751945,105.42904695132036,171.05151170924958,113.13511007652251,0.21895613758540353,0.2205086095304482
0.0,16.0,0.0,0.0,16.357898320943605,105.42904695132036,171.03952482818332,113.0883916321249,0.21753091393386234,0.22105033042508282
0.0,17.0,0.0,0.0,16.34577016984352,105.42904695132036,171.02909152364262,113.04207480606868,0.21611895697854927,0.22158408597597073
0.0,18.0,0.0,0.0,16.33374159843764,105.42904695132036,171.018409834994,112.9961549420236,0.21472008970785092,0.2221099723868016
0.0,19.0,0.0,0.0,16.321810298429373,105.42904695132036,171.00747684097374,112.95062746376917,0.2133341370379145,0.22262808654689697
0.0,20.0,0.0,0.0,16.309976895598545,105.42904695132036,170.99628964925523,112.90548313441379,0.21196120091519532,0.22313837447376372
0.0,21.0,0.0,0.0,16.29824936706461,105.42904695132036,170.9848453995629,112.86070067390416,0.21060208613548234,0.22364039563609636
0.0,22.0,0.0,0.0,16.28661950053578,105.42904695132036,170.97314127074813,112.81628537037322,0.2092560622285485,0.22413455114345857
0.0,23.0,0.0,0.0,16.275082897288613,105.42904695132036,170.961174483017,112.77223650339712,0.20792275569865779,0.2246210496345703
0.0,24.0,0.0,0.0,16.263636291645167,105.42904695132036,170.94894230469055,112.72855166774623,0.20660189972279344,0.2251000387204798
0.0,25.0,0.0,0.0,16.252276863815194,105.42904695132036,170.9364420493953,112.68522788075398,0.20529326838097423,0.22557164244855957
0.0,26.0,0.0,0.0,16.24100204466041,105.42904695132036,170.9236709652969,112.6422618924263,0.20399665673339434,0.2260359759340168
0.0,27.0,0.0,0.0,16.22980943254999,105.42904695132036,170.91062625812563,112.59965031674886,0.20271187329427315,0.22649314793319383
0.0,28.0,0.0,0.0,16.218696750146652,105.42904695132036,170.89730519616307,112.55738969767796,0.20143873688829642,0.22694326097912307
0.0,29.0,0.0,0.0,16.20766181948663,105.42904695132036,170.88370512112942,112.51547654646609,0.20017707372751267,0.2273864138482626
0.0,30.0,0.0,0.0,16.196702544754242,105.42904695132036,170.86982344859922,112.47390736598734,0.19892671628095623,0.22782270393478377
0.0,31.0,0.0,0.0,16.185816901349817,105.42904695132036,170.8556576698142,112.43267866595765,0.19768750207491634,0.22825222566407563
0.0,32.0,0.0,0.0,16.175002928822835,105.42904695132036,170.84120535190752,112.39178697177377,0.19645927397533305,0.22867506898843135
0.0,33.0,0.0,0.0,16.16425872430752,105.42904695132036,170.82646414119188,112.35122883216908,0.19524187862000958,0.22909132122304338
0.0,34.0,0.0,0.0,16.1535824367556,105.42904695132036,170.8123663315476,112.3110008245977,0.19403516605867452,0.22950106936863238
0.0,35.0,0.0,0.0,16.14297226434816,105.42904695132036,170.79940632422168,112.2710995569773,0.19283898773657274,0.22990440205686652
0.0,36.0,0.0,0.0,16.132426449222727,105.42904695132036,170.78615639177545,112.23152167040293,0.191653199498405,0.23030140475906838
0.0,37.0,0.0,0.0,16.12194327129527,105.42904695132036,170.7726145142475,112.19226384010942,0.1904776587296146,0.23069216179160373
0.0,38.0,0.0,0.0,16.111521034794407,105.42904695132036,170.75877874291436,112.15332277078878,0.18931222646770224,0.23107675476552617
0.0,39.0,0.0,0.0,16.10115803551036,105.42904695132036,170.74464718786712,112.11469518870359,0.18815676689674396,0.23145526410642822
1.0,0.0,0.0,0.0,16.52308535044629,105.42904695132036,171.06070490794173,113.87029560780647,0.2421993716095663,0.21113600250644776
